Year,Site,Species,Plant_number,Height(cm),Big_diam(cm),Small_diam(cm),Notes
1989,fp,LATR2,1,108,164,130,na
1989,fp,LATR2,2,83,138,104,na
1989,fp,LATR2,3,82,180,116,na
1989,fp,LATR2,4,99,112,73,na
1989,fp,LATR2,5,105,113,74,na
1989,fp,LATR2,6,88,128,110,na
1989,fp,LATR2,7,143,155,122,na
1989,fp,LATR2,8,62,80,70,na
1989,fp,LATR2,9,63,99,71,na
1989,fp,LATR2,10,88,121,112,na
1989,fp,LATR2,11,68,81,53,na
1989,fp,LATR2,12,82,87,73,na
1989,fp,LATR2,13,92,69,57,two_shrubs_tagged_with_branchtags_measured_the_one_with_the_tag
1989,fp,LATR2,14,80,92,37,na
1989,fp,LATR2,15,55,87,61,na
1989,fp,LATR2,16,88,127,68,na
1989,fp,LATR2,17,93,142,88,na
1989,fp,LATR2,18,81,112,93,na
1989,fp,LATR2,19,64,83,74,na
1989,fp,LATR2,20,76,97,71,na
1989,fp,LATR2,21,119,149,92,na
1989,fp,LATR2,22,107,184,75,na
1989,fp,LATR2,23,104,116,72,na
1989,fp,LATR2,24,72,88,53,na
1989,fp,LATR2,25,77,102,75,na
1989,fp,LATR2,26,106,134,103,na
1989,fp,LATR2,27,97,176,120,na
1989,fp,LATR2,28,99,110,60,na
1989,fp,LATR2,29,85,48,20,na
1989,fp,LATR2,30,86,95,84,na
1989,fp,LATR2,31,86,99,72,na
1989,fp,LATR2,32,122,152,103,na
1989,fp,LATR2,33,84,93,67,na
1989,fp,LATR2,34,93,77,60,na
1989,fp,LATR2,35,116,162,103,na
1989,fp,LATR2,36,93,79,57,na
1989,fp,LATR2,37,83,96,61,na
1989,fp,LATR2,38,112,216,148,na
1989,fp,LATR2,39,79,104,86,na
1989,fp,LATR2,40,88,85,61,na
1989,fp,LATR2,41,95,126,91,na
1989,fp,LATR2,42,80,93,72,na
1989,fp,LATR2,43,71,107,67,na
1989,fp,LATR2,44,99,200,104,na
1989,fp,LATR2,45,95,170,92,na
1989,fp,LATR2,46,76,89,64,na
1989,fp,LATR2,47,92,100,69,na
